xmin xmax ymin ymax
1388 1529 189 469
1303 1411 74 246
1217 1299 40 186
1448 1531 113 208
1748 1916 352 649
1516 1603 128 250
1267 1319 31 113
1536 1762 344 761
1410 1539 205 421
1242 1326 48 241
1427 1518 111 267
1173 1229 49 165
1685 1781 251 458
1540 1747 332 759
1425 1555 187 403
1415 1508 111 311
1259 1344 51 242
1167 1248 45 171
1657 1790 226 406
1525 1601 124 270
1438 1514 79 176
1541 1735 326 758
1412 1560 197 406
1415 1528 118 299
1262 1351 58 220
1686 1773 236 393
1170 1258 47 164
1536 1601 140 232
1542 1765 338 770
1438 1613 201 426
1649 1763 237 412
1258 1361 45 193
1188 1261 49 178
1556 1789 345 742
1754 1907 338 644
1454 1595 185 435
1654 1780 227 461
1205 1327 81 250
1211 1272 49 122
1557 1747 324 745
1457 1636 209 445
1242 1341 51 257
1666 1783 227 398
1523 1599 129 214
1753 1907 345 638
1553 1757 332 742
1442 1562 184 422
1671 1781 231 411
1203 1293 47 198
1265 1372 71 220
1502 1620 128 255
1753 1901 324 646
1551 1761 332 744
1730 1890 316 615
1441 1544 172 427
1275 1385 74 211
874 957 1 182
1210 1286 46 186
1519 1593 133 291
1666 1790 229 416
1551 1753 327 745
1710 1877 304 626
1447 1549 179 417
1208 1312 39 194
1686 1790 234 332
1531 1616 127 249
1206 1249 9 45
1561 1781 346 785
1449 1571 192 421
1237 1327 45 252
1463 1537 89 272
1209 1276 41 172
1645 1776 224 442
1171 1236 1 51
1560 1771 348 785
1398 1521 174 406
1642 1768 224 432
1249 1329 35 245
1207 1280 45 184
1508 1605 109 250
1170 1227 1 46
1551 1761 333 742
1400 1516 182 419
1253 1321 37 235
1209 1279 51 177
1515 1614 124 249
1655 1752 227 401
1150 1227 2 51
1578 1805 335 744
1382 1505 169 469
1649 1755 228 439
1111 1179 21 155
1199 1273 45 167
1190 1262 1 54
1509 1592 119 269
1004 1169 86 480
1733 1897 354 707
1357 1483 152 471
1636 1741 220 460
1142 1208 44 164
1119 1176 1 93
823 965 59 451
1702 1880 305 648
1358 1501 181 472
1631 1762 220 467
1158 1258 43 174
1085 1151 24 126
736 814 78 403
1499 1631 113 262
1399 1524 157 390
1707 1867 308 597
812 933 72 425
902 984 23 372
1356 1508 171 474
1630 1771 220 466
1164 1274 39 179
1397 1541 166 374
1492 1594 112 312
825 949 71 423
1708 1880 310 595
1362 1519 180 471
1634 1768 228 471
868 968 13 354
1162 1247 36 172
1227 1303 13 154
1494 1583 108 256
1396 1529 164 375
1707 1861 310 595
1351 1508 172 477
872 986 16 305
1633 1774 215 469
1089 1248 34 184
1231 1313 15 157
853 933 1 230
1495 1620 110 326
1399 1531 157 387
1711 1858 309 597
1364 1498 172 470
1636 1760 209 469
1184 1296 75 207
862 955 1 216
1297 1383 1 102
1229 1298 28 111
1365 1512 179 473
1713 1854 311 593
1636 1744 210 463
858 947 1 210
1189 1280 44 174
1247 1299 27 148
1505 1611 103 277
1366 1526 193 462
1713 1854 310 589
1145 1226 43 168
1228 1299 39 149
1376 1436 41 105
1715 1857 284 596
1369 1489 169 467
1455 1536 79 209
1219 1305 49 167
610 958 437 1056
1365 1490 184 474
1718 1860 309 594
1232 1312 48 197
1358 1536 154 336
1224 1320 16 111
832 1002 77 480
1353 1498 194 476
1718 1852 318 591
1238 1304 46 256
1355 1505 176 318
1716 1871 311 589
1356 1493 180 464
1230 1311 54 249
1363 1495 151 283
1272 1306 22 72
1068 1128 1 106
1386 1532 176 473
1279 1410 115 391
1229 1307 53 189
1719 1864 305 597
1251 1305 18 93
930 1054 72 458
1343 1481 162 472
1237 1319 51 251
1704 1858 305 593
1248 1322 23 115
1387 1505 196 470
1135 1241 31 167
1236 1312 53 255
903 963 1 119
838 890 1 98
1715 1868 319 593
1264 1314 26 111
1211 1267 2 50
1713 1893 324 596
1359 1524 173 463
816 873 1 113
1370 1422 18 141
1249 1372 82 209
1232 1292 61 136
1257 1303 15 59
1362 1510 193 480
1188 1295 38 258
817 897 1 118
1306 1372 26 102
1209 1241 48 90
1720 1883 314 593
1083 1136 1 42
1346 1478 164 479
1204 1303 59 258
1061 1155 21 128
820 887 1 107
1717 1858 306 602
1351 1480 173 477
1703 1870 325 575
807 886 5 119
1347 1466 153 479
1679 1808 271 553
806 883 1 119
932 983 1 118
1342 1483 145 467
1663 1839 273 562
810 884 1 128
1359 1466 305 466
821 886 1 111
1660 1786 241 577
1188 1283 58 167
1229 1283 11 85
1362 1472 294 463
1209 1283 49 171
1187 1251 1 84
1419 1475 55 136
840 919 1 127
928 994 1 114
1360 1498 284 464
1174 1254 43 171
1216 1264 5 55
1403 1476 27 120
912 972 1 106
850 913 1 136
1195 1289 48 212
1354 1466 311 475
1209 1269 7 66
914 981 1 113
836 923 1 137
757 897 84 496
1358 1498 225 474
1240 1302 53 266
835 896 1 117
902 966 1 150
1240 1307 22 85
871 1075 174 697
1399 1542 180 473
851 933 1 207
927 1005 1 179
1230 1315 51 235
1260 1316 13 97
1044 1459 682 1056
1397 1550 185 466
928 997 1 215
864 933 1 207
1237 1313 54 257
1070 1459 667 1056
1399 1551 180 467
918 1001 1 217
1163 1257 49 169
836 915 1 137
1069 1459 907 1056
1389 1543 174 472
845 904 1 126
875 961 1 253
1167 1263 36 180
1049 1360 549 1056
1377 1527 176 468
863 963 35 337
1167 1257 38 172
870 927 11 102
895 1058 113 566
1397 1519 190 505
856 932 62 351
1141 1218 44 162
1075 1145 4 113
922 977 78 191
914 1002 4 69
868 1024 54 450
1383 1522 185 488
816 888 37 259
1150 1244 41 184
1006 1077 1 67
1079 1155 1 127
888 1024 14 346
1371 1525 177 490
810 883 36 267
1234 1306 1 162
1167 1253 45 172
884 927 4 110
1085 1170 3 124
784 1045 428 1052
919 1085 200 649
1379 1527 179 468
922 1024 46 311
1235 1315 50 211
1239 1305 2 80
24 378 436 959
611 880 587 1056
922 1104 180 671
1409 1558 187 474
1224 1306 46 195
1278 1354 10 120
1224 1285 8 89
996 1420 679 1051
1 337 542 948
888 1110 320 897
1414 1566 184 471
1228 1301 54 187
1287 1354 10 109
1223 1274 3 94
876 1215 740 1056
873 1064 322 846
1416 1586 197 476
1476 1570 77 226
585 861 497 1056
1405 1468 50 124
1260 1571 458 1039
954 1305 673 1048
927 1144 132 630
1416 1559 201 469
916 1023 73 325
1481 1569 77 225
1448 1501 68 129
1110 1388 338 955
1348 1614 320 907
856 999 23 363
1383 1518 185 474
1481 1584 83 250
1437 1497 59 162
1408 1463 44 120
1220 1620 398 957
831 1039 291 785
1535 1667 249 646
830 937 15 332
1350 1479 184 437
1210 1302 51 183
1472 1567 84 251
1530 1610 116 258
1340 1400 6 104
883 936 1 115
1591 1839 288 742
1395 1532 207 435
848 944 28 334
914 992 19 292
1479 1574 71 255
1209 1295 55 196
1560 1647 132 263
990 1046 1 66
1267 1342 11 142
1393 1473 49 142
1581 1804 289 736
1361 1519 219 524
822 958 46 340
1157 1236 41 178
1554 1642 136 272
1478 1568 87 245
1344 1421 15 135
1260 1321 11 137
1098 1150 7 140
1233 1283 8 139
1057 1111 9 110
1581 1794 262 734
822 963 43 336
1382 1535 186 430
1184 1269 38 187
1073 1141 1 125
1466 1546 77 212
972 1049 1 75
1366 1443 13 130
1583 1801 273 731
834 977 57 321
1406 1540 196 457
1144 1258 41 173
1242 1319 22 151
1391 1458 19 126
1587 1795 277 733
1366 1508 163 469
843 992 57 323
1149 1238 41 171
1239 1303 20 163
1468 1542 63 232
1302 1368 27 101
1590 1806 268 731
1679 1855 293 681
870 980 33 323
1442 1562 185 398
1173 1298 48 177
1238 1308 17 111
1291 1349 24 113
1202 1255 1 50
1584 1802 275 735
843 984 16 319
1446 1564 191 406
1209 1311 49 211
1257 1315 29 115
1199 1247 1 49
1306 1353 35 113
1749 1915 370 676
1600 1831 272 727
