xmin xmax ymin ymax
1236 1319 44 248
1407 1469 57 141
1248 1326 23 108
1003 1069 7 69
921 982 1 97
814 879 1 110
1587 1767 309 712
1441 1561 193 398
1239 1301 53 254
855 921 1 181
1287 1351 19 123
1036 1090 3 69
1580 1758 300 703
1442 1554 184 405
1227 1307 51 259
1276 1334 18 127
1033 1103 2 81
1580 1786 326 698
1429 1550 179 386
1229 1311 52 176
1275 1336 21 113
1037 1093 9 76
1147 1215 2 66
1214 1257 2 50
1583 1781 319 714
1400 1528 167 451
1216 1288 48 183
1278 1346 18 131
1032 1094 1 77
1129 1185 1 66
1581 1783 318 703
1444 1584 180 404
1166 1266 35 181
1430 1529 65 191
879 968 1 118
1041 1114 1 93
1101 1166 1 51
995 1054 1 43
923 1252 575 1043
27 348 546 985
1576 1811 277 788
1318 1546 306 811
1359 1518 211 549
1769 1917 369 649
1203 1303 61 251
1075 1145 1 124
965 1027 1 107
1578 1783 271 728
1521 1656 131 315
1379 1509 153 408
1648 1763 206 431
901 996 1 223
1146 1261 40 176
1226 1324 5 155
1344 1403 20 126
1766 1920 368 665
864 1083 266 843
1540 1764 359 780
1336 1511 196 418
1634 1727 201 458
1136 1252 38 174
1488 1564 75 246
1224 1281 1 152
1537 1628 103 257
1686 1789 211 436
1575 1785 313 716
1434 1570 167 403
1462 1552 66 254
1180 1267 38 185
1391 1452 1 116
1254 1334 13 157
1765 1920 372 657
892 1003 38 355
1402 1529 183 449
1477 1554 77 231
1181 1255 48 174
1380 1447 15 135
1767 1920 368 659
1341 1485 183 471
864 975 22 319
1477 1576 78 244
1182 1267 45 174
477 773 570 1053
1507 1815 604 1003
1347 1495 177 470
1 158 586 848
1120 1208 45 162
1507 1843 558 1007
873 1094 290 907
810 954 157 596
1224 1451 127 474
1126 1203 35 144
903 1202 481 1056
1362 1590 336 801
919 1097 216 664
1533 1706 296 687
1415 1555 181 466
1189 1271 52 190
1362 1580 331 800
1531 1742 313 689
864 1008 61 477
1422 1558 177 446
1189 1278 52 166
858 936 21 181
1359 1592 323 800
1533 1728 313 690
1415 1556 172 475
902 977 1 251
1195 1281 44 184
1077 1156 1 118
1308 1620 331 854
1619 1829 313 715
829 977 28 411
1390 1540 190 423
1225 1306 50 242
1097 1164 1 124
1255 1325 1 104
966 1049 1 72
1065 1354 362 915
1543 1757 283 708
1347 1568 339 703
1103 1436 854 1056
1780 1917 371 674
1432 1567 172 420
1167 1255 43 175
1271 1347 33 133
1192 1545 643 1023
1151 1227 4 104
1041 1345 348 921
1540 1756 282 715
1349 1571 329 726
1776 1920 380 667
1440 1570 182 335
1198 1293 46 166
1284 1358 36 116
1095 1458 883 1056
1199 1562 666 942
1154 1232 5 88
928 1001 1 115
1054 1394 386 926
1199 1627 698 1056
1556 1765 286 729
1345 1577 327 739
1421 1556 172 420
1209 1303 42 231
1142 1229 1 131
1157 1445 923 1056
1238 1313 33 113
1770 1920 379 674
1034 1516 680 1013
15 289 421 959
1382 1595 265 786
1542 1750 295 701
1396 1548 182 427
1562 1645 134 279
1200 1281 48 172
895 954 1 111
1255 1328 28 113
1062 1341 912 1056
1759 1913 354 644
1158 1222 9 87
10 346 451 976
1327 1637 323 780
1542 1750 301 705
1346 1483 162 393
1206 1275 51 168
1258 1318 25 104
1067 1343 935 1056
1080 1480 685 981
1759 1905 359 646
1372 1437 26 135
1158 1231 10 84
1070 1528 669 1056
51 383 454 979
1351 1635 306 744
1550 1757 296 700
1754 1917 353 646
1440 1564 183 439
1178 1255 49 172
1247 1318 27 135
1179 1645 810 1056
1159 1234 7 83
1063 1493 665 1056
1379 1649 308 774
1559 1731 282 712
1361 1499 182 476
1205 1296 85 218
1250 1319 30 99
1148 1252 1 69
1764 1914 353 645
1203 1477 839 1056
950 1285 874 1055
1533 1792 276 733
1720 1910 337 726
1257 1503 184 429
1227 1307 47 168
910 972 1 102
1071 1444 674 970
1257 1319 28 110
1193 1244 1 50
1548 1764 257 709
1246 1558 552 864
1756 1908 345 668
1383 1531 194 421
881 990 1 226
1219 1299 1 140
1182 1269 44 174
1488 1560 90 211
1401 1456 21 129
1123 1484 796 1056
1172 1660 737 1056
1537 1760 259 717
1254 1556 530 864
1766 1909 343 671
1399 1539 183 448
1209 1313 42 215
1484 1567 80 227
1256 1328 1 120
1395 1454 18 112
886 999 1 234
1178 1537 741 1056
1557 1777 251 703
1442 1663 192 507
1756 1914 338 675
1234 1313 65 257
1219 1313 1 115
1003 1108 1 103
1209 1511 534 936
1189 1529 684 1056
1271 1577 495 817
1557 1765 259 703
1755 1920 336 644
1413 1554 172 461
1241 1316 55 239
1232 1316 2 130
1031 1129 1 110
820 898 1 115
1345 1471 180 471
1200 1295 51 197
866 959 1 197
1510 1623 107 267
1177 1251 1 75
1782 1920 407 675
1342 1472 177 483
1213 1305 56 201
931 991 1 221
1026 1091 1 69
1005 1047 1 59
1512 1590 97 258
1744 1916 381 661
1347 1496 164 472
1489 1589 87 261
1153 1257 43 173
1100 1182 1 130
773 837 1 147
1315 1379 5 105
1436 1480 13 123
1060 1132 2 122
1735 1902 327 645
1357 1501 167 464
1153 1283 42 175
1093 1180 1 118
1503 1606 94 261
1346 1401 22 128
1297 1368 1 103
1183 1246 3 44
1738 1883 314 633
1352 1497 159 472
1094 1175 1 143
1165 1250 36 172
1497 1625 92 264
1733 1898 326 641
1349 1493 164 471
1095 1189 1 153
1194 1276 46 178
824 895 1 115
878 932 1 103
1481 1592 93 261
1736 1887 325 639
1355 1494 162 472
1493 1610 88 254
1214 1303 50 214
1096 1175 1 129
821 901 1 133
1737 1901 317 644
1355 1485 163 474
1238 1299 50 259
1226 1283 1 85
1497 1629 93 255
1739 1904 319 642
1347 1480 182 468
1238 1314 46 258
1492 1614 112 271
1233 1295 1 132
1736 1898 304 640
1348 1476 188 481
1247 1307 56 251
1229 1285 1 136
1496 1607 95 261
1735 1912 340 640
1347 1481 180 483
1239 1304 55 256
1230 1287 1 101
1384 1454 2 129
889 1324 426 1056
1318 1624 449 1030
1363 1513 157 460
1635 1767 223 463
1494 1581 72 246
1147 1215 48 162
1178 1232 1 57
1416 1686 307 797
1348 1469 176 427
1161 1238 43 177
1588 1915 380 919
1489 1599 85 267
1372 1444 16 133
1173 1231 1 42
766 819 1 116
1504 1758 353 836
1645 1867 322 784
852 975 22 368
1402 1554 211 409
1497 1586 82 254
1152 1239 43 170
1067 1105 1 36
1516 1813 350 838
1648 1864 312 790
1394 1558 184 456
1495 1602 93 262
1141 1228 38 172
1599 1816 279 740
1767 1920 350 662
1397 1550 196 412
1153 1242 45 171
1578 1793 279 726
1759 1920 339 666
1409 1565 187 466
1157 1231 45 171
1599 1822 278 738
1450 1659 209 484
1762 1920 344 661
772 870 1 138
1152 1236 45 170
1612 1823 275 739
1438 1617 193 472
1763 1920 353 667
797 915 1 210
884 969 1 207
1141 1238 38 174
1604 1814 276 742
926 1042 59 396
814 935 71 384
1768 1914 345 662
1447 1565 180 459
1158 1239 45 169
797 1064 217 685
1761 1920 357 666
919 1076 118 563
1681 1841 290 563
1430 1544 195 413
1104 1183 42 139
968 1188 441 998
1768 1918 358 664
989 1163 198 540
1675 1854 287 570
1432 1555 200 418
1120 1192 42 155
1083 1318 316 855
937 1140 422 995
1760 1920 353 666
1349 1502 164 404
1671 1806 257 563
1121 1186 42 165
1082 1348 323 858
941 1141 421 1000
1392 1541 175 472
1112 1197 33 153
1666 1818 257 562
1764 1920 357 662
1411 1719 407 964
933 1225 429 1000
1101 1354 337 807
1731 1893 324 650
1352 1481 179 474
1693 1783 244 481
1116 1189 36 159
260 667 441 1039
1216 1597 523 1013
1559 1723 285 694
1416 1549 186 468
1190 1274 48 181
1684 1780 219 347
1256 1707 837 1056
1729 1903 337 637
1213 1602 510 1026
502 838 546 1056
1564 1728 279 703
1711 1920 359 661
1415 1560 183 469
1191 1276 41 189
1219 1715 853 1056
1212 1516 663 1050
1275 1512 480 835
1683 1838 289 617
1426 1562 179 465
1659 1768 216 478
1192 1277 50 173
1273 1541 530 824
1583 1776 301 698
1420 1542 181 467
1191 1275 48 175
1479 1546 89 208
1229 1505 726 1056
1208 1576 497 1033
1588 1779 299 702
1411 1566 176 473
1125 1200 53 171
1385 1443 22 132
1422 1480 1 110
1315 1720 830 1056
936 1007 1 117
1204 1492 618 1056
1302 1561 353 718
1395 1540 179 462
979 1059 1 80
1617 1710 198 364
1725 1920 466 780
1300 1634 468 996
1369 1590 305 584
1362 1512 178 430
682 955 915 1056
1051 1135 3 117
811 1152 411 1056
1301 1612 480 985
1419 1607 310 600
1339 1462 179 473
1049 1129 1 113
1114 1457 534 1056
1611 1809 316 698
1227 1409 349 732
822 945 57 512
1416 1573 164 461
926 1004 5 231
1157 1268 41 185
1231 1301 1 159
791 848 1 140
1565 1762 324 740
1436 1580 192 429
878 949 1 151
1221 1299 51 257
1051 1123 1 94
1266 1319 33 128
57 320 465 933
1428 1541 179 434
852 950 5 257
1247 1324 1 159
1161 1247 45 172
892 959 2 203
1172 1220 1 49
1673 1802 272 544
1636 1746 200 416
1152 1484 358 968
1590 1784 317 706
1387 1564 212 399
1228 1310 51 256
1266 1330 17 124
1725 1906 336 612
850 1098 632 1056
1336 1530 301 819
1584 1767 326 702
1456 1579 184 394
1175 1261 45 168
1148 1205 1 68
153 501 581 1028
1330 1587 299 823
1615 1804 330 693
1436 1567 182 433
1179 1265 47 171
1288 1342 1 141
1331 1380 10 93
1415 1471 10 109
1136 1194 3 67
1560 1763 273 719
1358 1537 311 749
1404 1532 173 322
1184 1271 40 169
1546 1770 277 717
1376 1584 346 788
1403 1547 175 459
1183 1270 42 170
896 948 1 110
1705 1799 248 378
1378 1644 408 841
1557 1773 271 721
1399 1542 178 476
1164 1266 46 169
911 969 1 114
1654 1751 219 408
1381 1625 380 842
1573 1776 282 719
1427 1569 185 455
1183 1263 45 169
932 997 1 111
1658 1768 215 406
1384 1628 385 836
1567 1753 288 719
1378 1495 93 454
1194 1260 48 168
1718 1795 261 384
1516 1755 380 774
1697 1807 253 587
1642 1739 199 444
1180 1258 42 176
1536 1606 138 267
1570 1749 339 706
1729 1920 372 684
1351 1498 126 469
1530 1699 143 293
1186 1263 48 174
1713 1834 278 523
1132 1188 2 62
1568 1765 350 706
1351 1495 200 474
917 1007 2 213
1195 1275 47 184
1713 1828 272 440
1766 1920 361 664
1339 1448 11 123
1566 1779 342 708
1754 1920 340 645
1354 1498 206 478
1143 1234 42 171
1071 1147 1 116
1712 1819 262 406
1567 1759 342 711
1398 1553 194 480
1660 1800 255 413
1164 1300 48 173
1234 1314 1 126
1759 1920 358 666
1567 1773 346 710
1392 1551 190 476
1143 1232 43 168
1230 1310 1 170
1442 1518 66 202
1733 1874 308 639
1568 1758 332 710
1383 1554 194 469
1227 1295 2 160
1149 1216 43 168
1727 1920 324 641
1586 1788 327 697
1724 1903 313 632
1403 1547 177 475
1238 1307 50 255
1227 1299 2 79
1593 1773 349 697
1431 1584 181 460
1232 1301 58 251
1228 1299 1 83
1719 1871 300 632
1588 1774 334 698
1413 1550 164 472
1731 1872 300 638
1231 1313 48 253
875 945 1 167
1221 1316 1 100
1593 1766 327 700
1425 1559 180 464
1223 1311 42 190
841 914 1 138
1233 1312 1 90
1728 1890 302 635
1628 1788 380 725
1429 1560 184 469
1765 1886 302 636
1234 1304 53 250
1234 1311 1 93
1627 1790 373 725
1431 1557 188 469
1234 1295 1 91
1223 1290 48 207
1767 1885 306 624
818 1022 210 675
1628 1799 352 728
769 926 73 378
1764 1879 315 634
1185 1269 57 186
1229 1303 7 95
1442 1644 234 461
950 1228 360 955
1692 1837 314 657
1402 1544 182 471
1178 1272 59 187
1232 1290 5 134
1733 1885 302 628
1395 1559 193 466
1193 1262 48 170
1322 1396 1 93
1626 1780 254 462
1741 1920 349 655
157 540 561 1018
1396 1562 196 469
1643 1771 242 473
1198 1263 49 169
1736 1912 351 649
2 141 551 881
1122 1459 451 1013
759 1045 530 1056
1730 1892 325 648
1359 1508 161 460
1636 1774 244 480
1182 1261 39 180
1228 1463 322 848
1341 1578 291 768
1732 1903 315 635
1638 1737 225 470
1215 1304 61 253
1488 1586 132 289
1362 1590 293 758
1297 1489 297 775
1725 1879 312 626
1209 1303 56 254
1624 1754 236 455
1395 1467 24 123
1181 1518 401 929
985 1199 278 818
1727 1901 320 632
1410 1558 128 415
1636 1766 244 475
1171 1257 47 173
1268 1540 329 826
1731 1898 318 632
1371 1508 186 459
1625 1755 240 477
1187 1286 48 203
1149 1208 2 68
1713 1873 310 610
1357 1514 207 467
1638 1761 225 467
1186 1281 47 185
1309 1537 371 807
1300 1560 348 809
1714 1914 322 612
1388 1544 189 447
1631 1776 224 465
1188 1281 48 183
1302 1562 353 804
1705 1911 322 611
1388 1525 187 418
1638 1780 230 465
1187 1272 50 177
1321 1564 375 810
1711 1886 312 610
1368 1523 180 455
1628 1795 244 468
1185 1267 48 177
1315 1542 372 803
1705 1879 333 610
1364 1509 166 449
1634 1772 250 467
1188 1265 51 171
1466 1711 335 789
1711 1897 316 616
1355 1511 187 460
1186 1272 45 178
1659 1797 243 441
1552 1776 423 765
1382 1525 203 481
1652 1783 252 457
1186 1273 48 180
1730 1849 296 552
1570 1731 502 771
1644 1755 197 476
1429 1532 179 403
1188 1266 49 180
1385 1608 287 771
1545 1768 310 748
1428 1538 188 436
1177 1265 50 177
1605 1684 154 275
1671 1757 219 331
1542 1757 317 744
1390 1568 270 754
1386 1529 192 465
1639 1766 227 426
1183 1265 51 182
1346 1402 15 94
1499 1709 318 781
1375 1538 188 467
1640 1774 312 689
1191 1271 49 178
1652 1746 219 373
1500 1711 316 780
1663 1767 307 571
1435 1542 184 409
1189 1267 50 172
1654 1758 237 325
1503 1707 308 776
1675 1767 310 496
1429 1547 183 402
1193 1271 49 176
1681 1775 254 346
1500 1700 318 778
1667 1772 307 576
1440 1540 177 399
1188 1269 49 180
1669 1764 236 355
1594 1855 411 836
1550 1773 310 750
1420 1532 172 409
1642 1759 228 403
1187 1267 48 183
1258 1345 1 101
1542 1773 303 739
1642 1817 312 697
1433 1551 164 401
1187 1272 47 183
1545 1764 310 736
1651 1826 305 698
1450 1567 188 402
1190 1267 50 174
1695 1775 252 348
1546 1792 328 752
1767 1920 387 675
1410 1544 178 480
1634 1754 228 474
1185 1264 50 178
1277 1346 1 107
1537 1763 318 750
1413 1550 196 494
1783 1918 394 694
1222 1298 55 244
1650 1789 232 379
1551 1790 362 758
1415 1546 184 487
1635 1772 224 463
1794 1920 411 692
1121 1185 43 146
1381 1536 179 478
1728 1886 336 621
1636 1777 242 469
1790 1920 410 690
1115 1185 40 129
1731 1903 318 627
1356 1489 179 462
1633 1759 231 468
1123 1191 42 154
1729 1897 321 624
1348 1481 186 470
1635 1764 231 466
1122 1190 42 133
1799 1919 398 689
1231 1580 510 1056
1732 1877 323 628
1342 1483 167 467
1635 1780 234 470
1786 1920 384 692
1116 1193 33 156
1413 1465 12 126
1431 1662 274 796
1271 1494 357 855
1731 1877 324 625
1348 1485 176 410
1786 1920 383 685
1646 1757 232 462
1117 1206 40 153
1629 1855 315 754
1354 1580 335 775
1400 1534 197 431
1645 1772 233 462
1116 1208 40 155
1664 1877 314 733
1551 1756 321 702
922 1046 63 341
1414 1545 203 462
1666 1775 248 380
1705 1804 290 593
1548 1768 319 699
1686 1862 313 713
1328 1515 187 417
1488 1580 107 258
1249 1327 127 258
1566 1656 155 275
1666 1759 236 315
1543 1761 313 697
1681 1846 297 688
1395 1551 197 418
879 977 49 339
1656 1749 239 395
1290 1376 3 120
1341 1418 18 115
1618 1831 357 749
1390 1554 172 464
1629 1760 234 462
1763 1857 302 525
1594 1779 315 719
1667 1860 290 672
1460 1558 181 388
1668 1781 258 388
1671 1857 306 630
1346 1472 179 477
1637 1758 235 463
1221 1284 1 155
870 1089 358 882
1334 1479 158 465
806 878 1 121
1646 1773 240 468
1089 1178 51 144
1123 1181 1 66
1344 1476 137 467
882 1003 96 429
1634 1764 233 493
1168 1244 56 171
1664 1803 263 596
894 976 79 387
1627 1741 231 470
1124 1212 42 170
905 976 3 116
881 981 62 368
1132 1208 40 146
1630 1716 200 405
1776 1920 389 723
870 957 52 337
1132 1210 36 148
1644 1769 221 402
1778 1920 359 672
1337 1489 159 469
852 970 35 293
1123 1194 38 157
1651 1775 244 426
